区域,名称,景点id,类型,级别,热度,地址,特色,经纬度
安徽·合肥·巢湖市,三瓜公社,2358622580,农家度假,,热度 0.0,安徽省巢湖经济开发区半汤街道汤山东洼村,领略现代公社的别样风情,"117.927118,31.67181"
安徽·合肥·大圩生态旅游景区,合肥一涧圩生态体验园,2014966549,农家度假,,热度 0.0,安徽合肥市包河区大圩4A级景区内，科技园路与葡萄园路交叉口往东50米,盈盈一水间，脉脉语花圩,"117.426805,31.773514"
安徽·合肥·肥东县,蓝山湾木艺生态小镇,263050121,农家度假,,热度 0.0,合肥市肥东县桥头集镇龙光村,独具特色的旅游休闲文化小镇,"117.529407,31.711029"
安徽·合肥·合肥融创文化旅游城,合肥融创水世界,3335608148,游乐场,,热度 0.0,安徽省合肥市滨湖新区庐州大道778号融创茂内（万年埠路合肥融创诺富特酒店对面路口入内，合肥融创乐园对面）,四季恒温无限亲水体验,"117.309443,31.707828"
安徽·合肥·合肥融创文化旅游城,合肥融创乐园,3540942261,游乐场,,热度 0.0,安徽省合肥市滨湖新区庐州大道778号合肥融创乐园（万年埠路合肥融创诺富特酒店对面路口入内）,各种娱乐设施让你嗨不停,"117.310454,31.697388"
安徽·合肥·合肥融创文化旅游城,合肥融创电影世界,4050773582,游乐场,,热度 0.0,安徽省合肥市融创文化旅游城融创茂内,将徽派文化与高科技完美结合的乐园,"117.310454,31.697388"
安徽·合肥·合肥市,中国非物质文化遗产园,787188145,文化古迹,4A景区,热度 0.0,安徽省合肥市岗集镇合肥北城新区卧龙山风景区,非遗三雕，徽梦水舞，浪漫非遗园,"117.124676,32.00893"
安徽·合肥·合肥市,李鸿章故居,1407878835,文化古迹,4A景区,热度 0.82,安徽省合肥市淮河路步行街208号,合肥现存保存完整大规模的名人故居,"117.297814,31.870344"
安徽·合肥·合肥市,合肥三国遗址公园,3211147170,文化古迹,,热度 0.0,安徽省合肥市庐阳区三十岗公园路1号,极具史学和军事研究价值的三国文化遗产,"117.13054,31.927823"
安徽·合肥·合肥市,徽园,356040763,公园,4A景区,热度 0.8800000000000001,安徽省合肥市繁华大道276号,创徽派建筑之新秀,"117.225253,31.789751"
安徽·合肥·合肥市,合肥海洋世界,2953279614,游乐场,,热度 0.0,安徽省合肥市经济技术开发区繁华大道321号,与极地海洋动物进行亲密互动,"117.221988,31.788149"
安徽·合肥·合肥市,合肥欢乐岛,2826414520,游乐场,,热度 0.8,安徽省合肥市繁华大道315号,可观光旅游，也有诸多极限运动、游乐活动,"117.222843,31.788101"
安徽·合肥·居巢区,姥山岛,1896444136,自然风光,,热度 0.8,安徽省巢湖市中庙镇巢湖湖心,林木葱郁，四季常青，如青螺浮水,"117.451478,31.570018"
安徽·合肥·蜀山区,徽文化民俗博物馆,3284239442,展馆,,热度 0.0,安徽省合肥市蜀山区科学院路现代农业示范园1号,展示的是年代久远的石雕、砖雕和木雕,"117.185267,31.879873"
安徽·合肥·紫蓬山,笑翻天苹果乐园,2149898204,游乐场,,热度 0.0,安徽省合肥市肥西县紫蓬山风景区,森林里的儿童乐园,"117.023424,31.736569"
安徽·黄山·黄山风景区,光明顶,60922615,城市观光,,热度 0.8,安徽省黄山市黄山区黄山风景区内,赵公明财神文化景区的核心建筑,"118.176111,30.13845"
安徽·黄山·黄山风景区,太平索道,3512873022,运动健身,,热度 0.0,安徽省黄山市黄山景区,上揽云天雾海，下拾阡陌平川,"118.166695,30.146842"
安徽·黄山·黄山区,黄山风景区,3346106506,自然风光,5A景区,热度 1.0,安徽省黄山市黄山区黄山风景区,五岳归来不看山，黄山归来不看岳,"118.193977,30.097967"
安徽·黄山·黄山区,黄山翡翠谷,681078296,自然风光,4A景区,热度 0.72,安徽省黄山市黄山区汤口镇翡翠新村001幢,人间瑶池仙境，天下奇景丽水,"118.228912,30.117235"
安徽·黄山·黄山区,黄山太平湖,3049027557,自然风光,4A景区,热度 0.0,安徽省黄山市黄山区太平湖镇,“黄山情侣”太平湖，“中华翡翠”在皖南,"118.025561,30.374314"
安徽·黄山·黄山区,黄山太平湖生态观光渔场,2385661971,农家度假,,热度 0.0,安徽省黄山市黄山区新华乡绍岭村,了解太平湖的渔文化，更能亲近自然,"118.047758,30.412677"
安徽·黄山·黄山区,黄山大竹海,3231929119,农家度假,,热度 0.0,安徽省黄山市黄山区汤口镇芳村,以竹海水景为主线，享受漂流的惊险刺激,"118.185448,30.034912"
安徽·黄山·徽州区,古徽州文化旅游区,3086015979,文化古迹,5A景区,热度 0.0,安徽省黄山市徽州区g205,将“徽文化”完美鲜活地呈现于世,"118.308664,29.863671"
安徽·黄山·徽州区,呈坎,4063128222,文化古迹,5A景区,热度 0.72,安徽省黄山市徽州区呈坎镇,集自然八卦和人文八卦相结合的千年古村,"118.293031,29.928992"
安徽·黄山·徽州区,唐模古村,3526312073,文化古迹,5A景区,热度 0.72,安徽省黄山市徽州区潜口镇唐模村唐模景区,泊在幽深岁月里的古村,"118.336253,29.875917"
安徽·黄山·徽州区,潜口民宅博物馆,2139030221,展馆,4A景区,热度 0.7,安徽省黄山市徽州区潜口村潜黄路1号,具有极其重要的历史、艺术和科学价值,"118.30448116488,29.874302996153"
安徽·黄山·歙县,新安江山水画廊,2057107350,自然风光,4A景区,热度 0.7,安徽省黄山市歙县深渡镇,人行明镜中，鸟度屏风里,"118.625539,29.868306"
安徽·黄山·歙县,徽州古城,2111320238,文化古迹,5A景区,热度 0.7,安徽省黄山市歙县古城东南部,歙县古城的街巷基本保持着明、清风貌,"118.442455,29.871875"
安徽·黄山·歙县,牌坊群鲍家花园,3698678527,文化古迹,5A景区,热度 0.0,安徽黄山歙县棠樾村,浓重徽州文化，悟儒家人生哲理和文化内涵,"118.378696,29.868063"
安徽·黄山·歙县,阳产土楼,2175663701,文化古迹,,热度 0.0,安徽省黄山市歙县,有福之人歇土墙（即土楼）,"118.668361,29.879048"
安徽·黄山·休宁县,齐云山,557006993,自然风光,4A景区,热度 0.72,安徽省黄山市休宁县齐云山镇岩前街018号,道教景观、丹霞地貌、摩崖石刻、山水田园,"118.046452,29.819613"
安徽·黄山·休宁县,大熊猫生态乐园,3853346237,农家度假,,热度 0.0,安徽省黄山市休宁县齐云西大道161号,近距离接触野生放养状态的熊猫宝贝,"118.176232,29.79283"
安徽·黄山·黟县,木坑竹海,3389589446,自然风光,3A景区,热度 0.7,安徽省黄山市黟县宏村木坑,卧虎藏龙拍摄地，恰如世外桃源般令人神往,"118.03725,30.009298"
安徽·黄山·黟县,打鼓岭,4015131225,自然风光,4A景区,热度 0.0,安徽省黄山市黟县城美溪乡,宏伟的瀑布群,"117.807541,30.083072"
安徽·黄山·黟县,西递村,3132765579,文化古迹,5A景区,热度 0.7,安徽省黄山市黟县西递镇西递村,徽派建筑，乡间水墨画,"118.003549,29.91024"
安徽·黄山·黟县,宏村,2450169620,文化古迹,5A景区,热度 0.78,安徽省黄山市黟县宏村镇宏村里,炊烟袅袅升起，行走在皖南小山村,"117.995474,30.010385"
安徽·黄山·黟县,塔川,1303105918,文化古迹,,热度 0.72,安徽省黄山市黟县际联镇塔川村,天人合一的画里乡村,"118.014216,30.024012"
安徽·黄山·黟县,南屏古镇,3038799109,文化古迹,4A景区,热度 0.72,安徽省黄山市黟县碧阳镇南屏村,走进乡村回归自然好去处,"117.910234,29.905838"
安徽·黄山·黟县,黟县卢村木雕楼景区,2738755019,文化古迹,,热度 0.0,安徽省黄山市黟县宏村镇卢村,徽派民居的精华，中国木雕的点缀,"117.983587,30.020204"
安徽·黄山·黟县,屏山村,2578540346,文化古迹,,热度 0.0,安徽省黄山市黟县屏山村,中国风水文化名村，小桥流水人家的风韵,"117.987148,29.945909"
安徽·六安·安徽大别山主峰,大别山主峰白马尖,4290510792,公园,4A景区,热度 0.0,安徽省六安市霍山县太阳乡大别山主峰景区,极目远眺，感受八百里大别山的连绵之姿,"116.181741,31.131532"
安徽·六安·霍山县,安徽大别山主峰,2680146503,公园,4A景区,热度 0.9800000000000001,安徽省六安市霍山县太阳乡大别山主峰景区,佛教起源——北有白马寺，南有白马尖,"116.181741,31.131532"
安徽·六安·霍山县,佛子岭,2584345281,农家度假,4A景区,热度 0.0,安徽省六安市霍山县,感受大别山的山水风光,"116.28802,31.315233"
安徽·六安·金安区,皖西大裂谷,3948672879,自然风光,4A景区,热度 0.78,安徽省六安市金安区张店镇,怪石嶙峋，泉水淙淙，可领略自然鬼斧神工,"116.589532,31.477618"
安徽·六安·金安区,大别山石窟风景区,2028317538,文化古迹,4A景区,热度 0.0,安徽省六安市金安区张店镇洪山村大别山石窟景区,奇峰秀水，植被茂密，古迹众多，传说神奇,"116.560396,31.490213"
安徽·六安·金安区,大别山风情谷,4040936708,文化古迹,4A景区,热度 0.0,安徽省六安市金安区张店镇大别山石窟风景区内,一个散落着自然景观与历史遗迹的风景区,"116.559935,31.495078"
安徽·六安·金安区,安徽六安市兴茂南山高尔夫俱乐部,45296880,运动健身,,热度 0.0,安徽六安金安区兴茂悠然南山旅游度假区,汇集人类智慧和大自然鬼斧神工的挥杆乐园,"116.556161,31.687704"
安徽·六安·金寨县,天堂寨,2307345546,自然风光,5A景区,热度 1.0,安徽省金寨县天堂寨风景区,感受大自然的神气伟丽，品味乡野的淳朴善良,"115.787575,31.136299"
安徽·六安·寿县,寿县八公山风景区,2338060544,公园,4A景区,热度 0.0,安徽省淮南市寿县八公山风景区,淝水之战的发生地,"116.809032,32.634634"
安徽·六安·舒城县,万佛湖,673370657,自然风光,5A景区,热度 0.9199999999999999,安徽省六安市舒城县万佛湖风景区,60多个大小不一的岛屿，有安徽千岛湖之誉,"116.783898,31.30951"
安徽·六安·舒城县,金汤池温泉度假村,573833168,农家度假,,热度 0.0,安徽省六安市舒城汤池镇人民政政府旁,“温泉之乡、人间福地”,"116.890113,31.242405"
安徽·马鞍山·马鞍山市,诗城人家,3431240761,城市观光,,热度 0.0,安徽省马鞍山当涂县现代农业园,闲聚诗城人家，纵论天下大事,"118.824676,31.566993"
安徽·马鞍山·马鞍山市,启迪乔波冰雪世界,1672892526,运动健身,,热度 0.0,安徽省马鞍山市郑蒲港新区九州东路50号,体育休闲主题滑雪场,"118.342849,31.629818"
安徽·马鞍山·雨山区,采石矶,2312433633,文化古迹,4A景区,热度 1.0,安徽省马鞍山市雨山区采石镇唐贤街1号,千古画卷，诗仙长眠之地,"118.466567,31.656788"
安徽·潜山市,天柱山,1988650762,自然风光,5A景区,热度 0.86,安徽省安庆市潜山县境内,飞瀑流泉，溪涧遍布，山有多高，水有多长,"116.466287,30.739246"
安徽·潜山市·天柱山,白马潭漂流景区,2470901784,农家度假,3A景区,热度 0.0,安徽省安庆市潜山市水吼镇马谭村,品尝地道野味，体验水上人家生活,"116.372416,30.722677"
安徽·铜陵·铜陵县,西湖欢乐世界,1429765613,游乐场,,热度 0.0,翠湖六路以北气象公园以西,皖南地区的欢乐园,"117.850891,30.975848"
安徽·芜湖,芜湖失恋博物馆（旗舰店）,2787580892,展馆,,热度 0.0,芜湖市华强广场4楼（同庆楼隔壁）,一段无疾而终的感情故事,"118.371545,31.347366"
安徽·芜湖·鸠江区,鸠兹古镇,3226123305,文化古迹,,热度 0.0,安徽省芜湖市鸠江区纬二路,车水马龙，商贾云集，徽商扎堆的徽帮雄镇,"118.473303,31.374645"
安徽·芜湖·鸠江区,芜湖方特梦幻王国（二期）,1073436503,游乐场,,热度 0.0,安徽省芜湖市鸠江区赤铸山东路华强文化科技产业园,东方梦幻乐园，亚洲科幻神奇,"118.466163,31.365534"
安徽·芜湖·鸠江区,芜湖方特东方神画（四期）,1487103532,游乐场,,热度 0.0,安徽省芜湖市鸠江区赤铸山东路（芜湖方特二期附近）,非物质文化博览园,"118.464405,31.365991"
安徽·芜湖·鸠江区,芜湖方特欢乐世界（一期）,2712470378,游乐场,5A景区,热度 1.0,安徽省芜湖市鸠江区银湖北路80号,找刺激，不去玩就赔大了,"118.385526,31.382932"
安徽·芜湖·南陵县,马仁奇峰,3821817759,自然风光,4A景区,热度 0.76,安徽省芜湖市繁昌铜陵南陵三县交界处,体验式旅游精品景区,"118.174791,30.978893"
安徽·芜湖·南陵县,芜湖大浦乡村世界,741433620,农家度假,,热度 0.0,安徽芜湖南陵县205国道段25公里处,“旅游产业与现代农业”高度结合的可贵探索,"118.424431,31.113756"
安徽·宿州·萧县,皇藏峪国家森林公园,869495090,自然风光,4A景区,热度 1.0,安徽省宿州市萧县皇藏峪国家森林公园,淮北部反映历史上生物群落面貌的区域,"117.059492,34.029733"
安徽·宣城,敬亭山,3309705283,自然风光,4A景区,热度 0.78,安徽省宣城市北郊,千古诗歌之山,"118.739596,30.991457"
安徽·宣城·广德县,太极洞,818235463,自然风光,4A景区,热度 0.82,安徽省宣城市广德县太极洞风景区,洞藏山水间，等你千万年,"119.616139,31.123154"
安徽·宣城·广德县,太极五色谷,2241215309,农家度假,,热度 0.0,安徽省宣城市广德县新杭镇太级洞桃园村五色谷景区,群山围绕，百草春风，无处不飞花,"119.622889,31.114258"
安徽·宣城·绩溪县,龙川风景区,3726110629,文化古迹,5A景区,热度 1.0,安徽省宣城市绩溪县086县道,聚天地之灵，享人文之杰,"118.674492,30.081468"
安徽·宣城·绩溪县,徽杭古道,4104039431,文化古迹,4A景区,热度 0.0,安徽省宣城市绩溪县伏岭镇江南村,徽杭古道——驴友的小学毕业考试,"118.775769,30.145473"
安徽·宣城·绩溪县,古孔灵浧坡庄园,3091299392,农家度假,,热度 0.0,安徽省宣城市绩溪县临溪镇孔灵乡221号,小桥流水风光旖旎，泛光夜景气势磅礴,"118.543943,30.050611"
安徽·宣城·泾县,查济古村,350617092,文化古迹,4A景区,热度 0.0,安徽省宣城市泾县桃花潭镇查济村,十里查村九里烟，三溪汇流万户间,"118.067257,30.55036"
安徽·宣城·泾县,宣纸文化园,1875098389,公园,,热度 0.0,安徽省宣城市泾县乌溪,感受文房四宝之一的宣纸为文明添加的色彩,"118.459612,30.570552"
安徽·宣城·泾县,江南第一漂,3601209796,农家度假,3A景区,热度 0.72,安徽省宣城市泾县榔桥镇乌溪村,享受美景与漂流带给你的双重乐趣,"118.417543,30.558605"
安徽·宣城·旌德县,江村,2883017943,文化古迹,4A景区,热度 0.76,安徽省宣城市旌德县022乡道江村,皖南大地上一颗光彩夺目的明珠,"118.3963,30.21752"
安徽·宣城·宁国市,恩龙世界木屋村,187807166,公园,4A景区,热度 0.76,安徽省宣城宁国市宁港路8公里处,看不尽的美，说不完的旖旎,"118.934462,30.660816"
安徽·宣城·宣州区,龙泉洞,1443395245,公园,4A景区,热度 0.0,安徽省宣城市宣州区水东镇,留存百万年的灰岩溶洞,"119.005306,30.828326"
安徽·宣城·宣州区,安徽宣城龙悦谷高尔夫俱乐部,3585881813,运动健身,,热度 0.0,安徽宣城宣州区狸桥镇白马山庄,动感果岭留给您发挥空间，光滑表面带来挑战,"118.878063,31.19046"
奥克兰,奥克兰博物馆,3998434809,展馆,,热度 1.0,澳洲-新西兰,是一所收藏历史和民族文物的博物馆,"174.7778222,-36.8603838"
奥克兰,圣三一堂,3100277781,城市观光,,热度 0.0,"Cnr St Stephens Ave & Parnell Rd, Parnell 1052新西兰  南 15871 公里",教堂外观设计具有独特的现代气息,"174.783467,-36.859373"
澳大利亚首都领地·堪培拉,澳大利亚战争纪念馆,2638385237,展馆,,热度 0.0,在格里芬湖的北岸又一条宽广的通道，沿着这个通道步行15分钟就到纪念馆,为了纪念在一战二战中牺牲的战士而建,"149.148433715105,-35.2811347841167"
澳大利亚首都领地·堪培拉,澳大利亚国会大厦,783064249,城市观光,,热度 0.0,"位于格里芬湖(Lake Burley Griffin)南岸, 左侧是下院，右侧是上院。",位于澳大利亚首都堪培拉的中心。建于国会山顶上，其地理位置就像其权利一样。国会大厦以大量使用砖石和优质木材。国会大厦占地3,"149.1243624687,-35.308156253"
澳门·澳门,澳门Planet J冒险王国,2072744654,游乐场,,热度 0.0,澳门金沙城中心3楼（邻近美食广场）。,让玩家能参与冒险游戏的创作,"113.5777,22.149407"
澳门·澳门,澳门巴黎铁塔,3537329489,城市观光,,热度 0.0,澳门路氹金光大道连贯公路澳门巴黎人,在澳门体验巴黎的浪漫风情,"113.573908,22.146331"
澳门·澳门·澳门半岛,澳门旅游观光塔,2864735853,自然风光,,热度 0.72,澳门特别行政区澳门半岛南湾新填海区D区域1号地段,登高望远，全澳景色尽收眼底,"113.548373,22.183003"
澳门·澳门·澳门半岛,澳门博物馆,1345216740,展馆,,热度 0.76,澳门澳门半岛澳门博物馆前地,本地艺术家谭劲制作的艺术品的石膏复制品,"113.553867,22.200038"
澳门·澳门·澳门半岛,澳门科学馆,671278363,展馆,,热度 0.0,澳門孫逸仙大馬路澳門科學館,教育与旅游元素结合的科学馆,"113.56845,22.188856"
澳门·澳门·澳门半岛,大三巴牌坊,4284880114,城市观光,,热度 1.0,澳门特别行政区澳门半岛耶稣会纪念广场圣保罗大教堂前,澳门具有代表性的名胜古迹,"113.552451,22.200496"
澳门·澳门·澳门半岛,金莲花广场,602047425,城市观光,,热度 0.78,澳门新口岸高美士街、毕士达大马路及友谊大马路之间。,具有繁荣昌盛寓意的广场,"113.546268,22.192068"
澳门·澳门·澳门半岛,玫瑰圣母堂,2618366809,城市观光,,热度 0.72,澳门澳门半岛澳门板樟堂街圣母玫瑰堂前地,是天主教的明我会教士初到澳门时设立的,"113.551964,22.197991"
澳门·澳门·澳门半岛,圣母雪地殿教堂,2397983691,城市观光,,热度 0.7,澳门特别行政区澳门半岛,始建于1626年，所祀的是葡国人奉为护卫航海之神。据世居澳门土生葡人传说，当年葡国人航海来澳，途中遇到狂风暴雨，在惊涛黑,"113.561242531799,22.1997108459473"
澳门·澳门·澳门半岛,路环圣方济各小堂,3511393912,城市观光,,热度 0.7,澳门市路环市区丹奴街意度亚玛忌士花园内,类似澳门一般教堂的巴罗克式建筑,"113.55750211998,22.123523207863"
澳门·澳门·澳门旅游观光塔,澳门塔360旋转餐厅,1379770849,城市观光,,热度 0.0,澳门特别行政区澳门半岛南湾新填海区D区域1号地段澳门塔内,澳门之旅不可错过的观光自助美食,"113.5351036,22.1798678"
澳门·澳门·澳门威尼斯人度假村,贡多拉号,1092077846,城市观光,,热度 0.0,澳门氹金光大道望德圣母湾大马路,感受“水上法拉利”的独特魅力,"113.573676,22.151191"
澳门·澳门·凼仔岛,澳门威尼斯人度假村,1948191415,文化古迹,,热度 0.9400000000000001,澳门特别行政区凼仔岛氹仔金光大道望德圣母湾大马路,边购物，边坐贡多拉徜徉水城“威尼斯”,"113.571859,22.150543"
澳门·澳门·凼仔岛,澳门银河度假村,2138762840,农家度假,,热度 0.0,澳门特别行政区凼仔岛路氹城,瞬间忘却烦忧，感受帝王式款待,"113.564983,22.152136"
澳门·澳门·凼仔岛,龙环葡韵住宅式博物馆,3703919695,展馆,,热度 0.7,澳门凼仔海边马路市政分园对落,馆内珍藏着十九世纪末期的富有特式的家具,"113.571471,22.156789"
澳门·澳门·新濠影汇,新濠影汇摩天轮,538994407,游乐场,,热度 0.0,澳门路氹地比邻横琴的莲花大桥口岸,摩天轮期待与您高空相约,"113.573751,22.143942"
澳门·澳门·新濠影汇,新濠影汇华纳满Fun童乐园,3050525306,游乐场,,热度 0.0,澳门路氹地比邻横琴的莲花大桥口岸,众多特色设施，适合一家大小乐叙天伦,"113.571974,22.143333"
巴伐利亚州·慕尼黑,宝马博物馆,1470114407,展馆,,热度 0.7,"Am Olympiapark 2, 80809 München",带您欣赏一个宏伟的建筑,"11.5590966,48.1768304"
巴伐利亚州·慕尼黑,安联球场,1719994404,运动健身,,热度 0.0,"Werner-Heisenberg-Allee 25, 80939 München",来这里感受激烈刺激的比赛氛围,"11.6247072,48.2187997"
巴伐利亚州·慕尼黑,拜仁慕尼黑俱乐部,1208886843,运动健身,,热度 0.0,"Säbener Straße 57,81547 München",拜仁fans在哪儿,"11.571862,48.100281"
巴厘岛,泡泡水上乐园,1709428301,游乐场,,热度 0.0,印度尼西亚巴厘岛,给你一个难忘的南洋记忆,"115.1693914,-8.7282298"
巴厘岛,克龙宫仲裁法庭,651357675,展馆,,热度 0.0,"Kertha Gosa, Semarapura Kelod, Bali, Indonesia",克龙宫王国解决地方上纠纷所设立的仲裁法庭,"115.403317352761,-8.53565529437518"
巴厘岛,小婆罗浮图,2956775524,展馆,,热度 0.0,"Jalan Puputan Niti Mandala Raya, Denpasar",为了纪念巴厘独立所建立的民族纪念碑,"0.0,0.0"
